similarity_cluster_id,cluster_size,representative_structure_id,member_structure_ids,n_scaffold_series,median_p_activity,maximum_p_activity
CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85,STR-00A2ED8561E7DE80CF5F;STR-00EAB22F635715DE8799;STR-01B5E6F5633C4AF7D768;STR-026263DECB2C2D5066E0;STR-03825B6A51D0B0744A5D;STR-0385B7365D2BE1443660;STR-0762484A1F8E76578E66;STR-079F3F9421D0EFF32E86;STR-08F8459D1F8F16B6681D;STR-0929C2100723D6B883C0;STR-094F554E2B0D3487D695;STR-0B3A10F091CFA83F82BC;STR-0C136D4784FF4E1D4A7F;STR-0C1D3CBEB06D4D0E10FA;STR-0C41A5E0103FBE24922F;STR-0E18A32C09E2471DF027;STR-104DDD12D2A71EF11558;STR-10AE5FE75F08293C000F;STR-12C3D4D6515C28A44080;STR-12F4BE5B3B9958528331;STR-13DD6488A0AF0E3C9021;STR-147345C311E96CDE5202;STR-148B8C4077863A1C12AD;STR-1574B99AB38B91861720;STR-171BAC86BCDD3AF9EF0F;STR-175E6B8A02C7A1A8161C;STR-19696E299ED51B516AAC;STR-19CC959BDEEEA861FDD9;STR-1D90C1470EBB9030FBBA;STR-1E3B65B659C49B92801F;STR-1E3BF4938C186E9DEDED;STR-241F2E6DC7BEF8AE2212;STR-25ACFB2C189546A8CDF4;STR-25FD7B5E9510CCADC7E9;STR-27A7903BB4E38754D8CE;STR-28D764E3D7E6595F8FAA;STR-28EBAE9BC55156C6772E;STR-2C30E7D0A7F4E210317C;STR-2CFC8301293C2B82E4A6;STR-2D3ADB707F7A33308C6C;STR-3056BAB95CE288C931AB;STR-312EF6BDB711E79D339B;STR-3456B22116DFBE0042D0;STR-34A22E8D07A7D066A07D;STR-36D06C665413C80AFB22;STR-38B1872E6995BD9A227F;STR-38C10D94ABD1F231B9D1;STR-3A87DF5E12610CBFE604;STR-3B3C5B252A05FD26B962;STR-3BD3AAFB21D6F0AE245A;STR-3DC002932CE2E06E9BD6;STR-3EEB6D80F661CEA479BE;STR-428061115D2191372CAC;STR-4699291DA7C1B49340A3;STR-479A1AD4514C662AB87A;STR-4D89EA9F20765D09F97C;STR-4EBA07B20CCDE9D2E322;STR-4F507812C726BEF9FE1F;STR-4FD9E5C0590E883535A1;STR-5151BA76FE38FE2C9C70;STR-52142363ACB32B4956F1;STR-5368CF10D83D68530041;STR-5C1522C845914F088582;STR-61922625495B0746B9C8;STR-62EAA7BC9A8608AAD9F0;STR-63835D190E39EDBFC923;STR-63C5105B1A94A77907F0;STR-648FC2156F27220D48EE;STR-6549D4F285AE9D37C874;STR-662212F484FA5C48F6BE;STR-6BB8114D41C4FAE5B067;STR-6C0290A40DE07CB70C53;STR-6C7C81D23F5013B2B272;STR-6CAE53F54456642C32C0;STR-6D12E542BA59225B503F;STR-6D83836432314425AF74;STR-6E87454FEE741EE39D57;STR-71C6205ED0F8C1804176;STR-72BF5FE38870FA3B6280;STR-72C550895A5820A4CDC3;STR-73C772FB7948E1F95E72;STR-7402DC1466D10A017571;STR-74136B835F8782FF8CF4;STR-7490FDF2026E2906146B;STR-74EC77156DDF050352F6;STR-79F48E1A5DF36F1BBEBF;STR-7AFC09FA5CCD1AD58837;STR-7B1655073C306BE222B5;STR-7B2CA21F382AEB3E3E3F;STR-7E1F0EE1EE4F776E8704;STR-82F62D7E24DAAC315910;STR-8327CD7E287E5727BD93;STR-851AFDDDDD073021FE40;STR-8535ECCB37B9DE83B0D3;STR-86534CE59FD1A258EC1F;STR-876F949BC6A8C1B80B12;STR-89EE640F6F04A852B27F;STR-8AEA189C71B920BF19B8;STR-8B2AB072C4548D2116F2;STR-8C3A97B1A2D095352AF3;STR-8E158147825BE52377FD;STR-8F7CBFDB7C53A966A008;STR-91891F1DBB7E5E88635E;STR-918CDACAD6A3ADC5DD7E;STR-91DBBE357E18B4934420;STR-93357EA1BA889F037426;STR-93F64171A6C361A48AC4;STR-96042A1C627CE2CBBC1F;STR-96E35423F541E47EB48A;STR-97B7AB1532A54CF194EB;STR-9AB451B80BF4E04E2781;STR-9D9A08BEFE284CB422FE;STR-9DDC4364CC264A5D1AE9;STR-9EEB3BED6CC8A84F57AD;STR-A21C415987FFBA939D6E;STR-A330C30988CE0ADC0A8D;STR-A3B4307502A8FF889516;STR-A81FD784C5400DE7DDA0;STR-ACDFA018CA06C93D8221;STR-AFF9BD01FBFBA6263A29;STR-B00EBDE672D151BF05E0;STR-B2AFEC539C3D9634128E;STR-B3713976D3715B01F866;STR-B42C6A96CD90C7D4D5BD;STR-B437BC949901A5D8DC9A;STR-B51853407B4A9AF321D2;STR-B53DCF54F31F57F891A0;STR-B546DF2C9D9B81A938ED;STR-B5884EB8037FEC9CB771;STR-B67790F64070E12D5EFA;STR-B86349156178B4813AFB;STR-BA4B8BF78E2F3EDB8F63;STR-BB5DA7F787A2FB885A08;STR-BB65ACE90322DCB1AF4C;STR-BDA869F5010D8C8F45A3;STR-BDF33E354DAE4939F700;STR-BEA4E748379BECE8B5BF;STR-C07EE6A6B313BC7131B8;STR-C221EB3A1209DD6114DE;STR-C5BD1A6A0620B892A540;STR-C7777FCF0556D85B0DAB;STR-CAD50D46562C0D29D331;STR-CB25E0AA22D6E282838A;STR-CD94BD50EF1121AE4E8B;STR-CDBF5137E00EE2651EDD;STR-CE767B2CC0FDE9DEDE13;STR-CEC3B82DF09531954FAB;STR-D1C0AC976A090EAA245E;STR-D2049436E0A3A1A3ABCB;STR-D4CCFA73123FE6C43206;STR-D5C69694B8C40CD738C2;STR-D6B8ADC97BD5868798A4;STR-D7B6A133DED6C54A6E85;STR-D863AF536402BD1BA1AF;STR-D8D1585BDF74480ED2A1;STR-D9830BB6778F6B1CAA5F;STR-DA810ABA63D56EF0FE8C;STR-DADA1B47F9BA05C17134;STR-DB7599D364AC5B610473;STR-DDBCB16E6E8600360172;STR-DDE275F18E3815C1D552;STR-E3B8278C7728D509C360;STR-E575F8E3658FABFC44D1;STR-E897A6DD984B887A023C;STR-E963AE7E2CFE53ED5D83;STR-EA13E0E552A0CD3E6E3D;STR-EB2E5453C9E3510F4FAC;STR-EFBDC82F897837532FAC;STR-F0B0F7988A153B3EBBAB;STR-F2582153AFECCA17E433;STR-F2780D30E185047C1A28;STR-F316B31F563C35F0560E;STR-F51B7D171A1ED736805D;STR-F60A396C51FDEB446C33;STR-F66D41205C14840C5977;STR-F80C61F109C8A7A8A056;STR-F91EC5999F2BF329A3B8;STR-F935C48B5CC4A6286518;STR-FA093486A959081BCFE5;STR-FBA598C340B2023BE63F;STR-FD2C6D69C0E7C03090A5;STR-FD5D4013B5F7BC070448;STR-FDB4878ADB13F8D5ACDD;STR-FF0D357DDF873BD2A7D4,3,6.552841968657781,8.527758663924915
CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A,STR-00A1D39E2CC2B5C8F906;STR-025D3FCF7FCF0D4F8D78;STR-080A59F9B1BCF4DFA65B;STR-09808CFD40E7489BA72B;STR-09E54D8A9B952AC86D2A;STR-0C1A3C79DDA24756CB7A;STR-0C77A21AB4DE90C1EA09;STR-0EB8573BEAC1C0A492BB;STR-0F9EB3D0BA8F609CF473;STR-1380FDB405A07D2654DB;STR-1764644935E711FBFE13;STR-18A0CA3C76D3D31427DE;STR-1C195E0EFD40C42EDEE4;STR-1E9D02C95D733A0CE623;STR-229990C98B9D4B27D490;STR-24BA8A5718C0F3749245;STR-288DA5D629242E618088;STR-298210A977B1E814E254;STR-2BD8E1D3643B1EDA4E91;STR-2E8A075F614E722CE8DF;STR-30D1E5B8E9867EA8DE8A;STR-3187B729C5A86F22C447;STR-338D75E25E61086DDEB0;STR-33EC56FC5D9EE8140CC4;STR-35F6D1EC02194FC314E7;STR-3601397C7850DBE7E578;STR-377B42435916FCE77AA8;STR-3941BFA7C86C7BEE8530;STR-3DF232D656AC9EFDA4D4;STR-3F81C43E4EB08BB5803F;STR-40B1021373C595DF25D7;STR-42FABA990848887F9FDB;STR-4342C90FE7E456F909D0;STR-469219CCEE1D20BDAA81;STR-4719AA5EBF6B16DABB7E;STR-4866DF3FD3D34FBFE093;STR-4C0B23EB03D4979A79B0;STR-4E0D965820718397652B;STR-4ED5D5CE4BFD95B4D0C2;STR-4F74C84E1F856F025432;STR-50194E6CF0AF9E3900D0;STR-506A8FF202D4B27FF220;STR-53AEACA9E792A76EA570;STR-5470E2C155BCDC752B33;STR-54ED728D29C775C2EEED;STR-55608317294F39D42FCE;STR-5757A82E1BB3E6BCC920;STR-5A59AFF93EE296D36BC6;STR-5A6D9F61D6C13A688B6F;STR-5B65D30F2628A312D8CA;STR-5E430B1B17CD1D28B026;STR-624DE6171936672A9284;STR-636585A8759358E2930D;STR-64416BC7F3D621D83B3A;STR-64726CEBE1C119AD1032;STR-65405A355B35D329B436;STR-6B28BBE0B01A6E185ED9;STR-6B610F98DBC51ED4955E;STR-6B969286E24A749E8280;STR-6C4B7845EEA627B51A73;STR-6F0B243CDCAB8EEB6068;STR-6F61DD7B53632CC333BC;STR-751E14E3FB418B1577CE;STR-79D75B6A88F0457FA1C2;STR-7A2E8FB7325B12C5539B;STR-7C604423619052A15AC8;STR-8271C886AE561654AC45;STR-85AF727985BBEB438A71;STR-85CC09FA46180DEFBF79;STR-88BBF77299762B038C6D;STR-8A794CDE3E0D8F1C731C;STR-8DC5EC4D0143F4C7CD6A;STR-913F46730FAF3C502A72;STR-93B1E6E77462AC33263F;STR-94607F80C78D17F7F58B;STR-94A936446793C2B8E49C;STR-94C191645BE5B0A1978A;STR-990708AC2AD0842F3BCB;STR-9C7406FBB59A2F2C8D9C;STR-9D9B1AE963E341CF559B;STR-A1381CEB41898F753D78;STR-A62EFE6B816DF994EE32;STR-A723964BC2F481BF1509;STR-A8561A75D1EC79B3C31D;STR-AA65E7D5BF8C15D9F669;STR-AD35C124559ACD44BE3E;STR-AD791DBCBA03342A8D18;STR-AE07246DCCF5CCC9E046;STR-B56EF6AC340F28C175E6;STR-BAB280176B241974F757;STR-BF401908AD838E3D878A;STR-BFADD52B1F3CC9E98A32;STR-C24E330B171F75FD816E;STR-C7F0E76CC5EC752D86FB;STR-CE7B584631A9BA01C68A;STR-CF723552A81BEA7EC32F;STR-D2329F0EB178ECBDC6B6;STR-D3545E8919D6A24E9EFC;STR-D8497B8DD5B2F916727A;STR-E71EA49855240EBB6F7C;STR-E971954B90C3DF1122E8;STR-EABF9B602E7C57DDC695;STR-F1E7C121ED0AA1CBD4E4;STR-F3E4FB7B2DAC6DD0B0EA;STR-F4223A1339E66808912C;STR-F56D36E1BD6B0DD11077;STR-F6B3210B924167EFDCBB;STR-FA1FDFBE4B94F7A252F5;STR-FC134713F6D36D29BA09;STR-FD744C47D05214C5E9EE;STR-FE6ABAC0F054BFEC1BAA;STR-FF3501C24AF8F8557BD2,15,6.4536502020119,8.698970004336019
CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334,STR-1336D74CEEF07820B1AB;STR-1626E26FA9CDEFB597A0;STR-18936FD320AF3538594A;STR-1B889CE46B71B0168CDC;STR-1F39727F90F76C636B4B;STR-22ABADFB64D91C6FE7F1;STR-29F00BB941CE28B9FDF5;STR-34DA364C524542BAF54B;STR-37892E2865C156499B87;STR-3815BA4AEEA1DB9CE8BA;STR-3F32DD5F6BE1258722C6;STR-404CEFB796E101ECF803;STR-49EE11A98D32940D40F8;STR-4A902F7AC5A334C3F331;STR-4B2666E7A6862E420991;STR-6F8F59E84BD75C74A25C;STR-6F92DD97001CC1334310;STR-72BC2AEC0C9B5FB0C4A6;STR-73526DEBB89B97E16E0E;STR-78872E7698A00B065699;STR-7A321275AB46AC4BC765;STR-83B9ECDFE7009BAA93EB;STR-843DDF86851FBE55E4F0;STR-882FF6702A9046F460CB;STR-93E40DC911AC439ED16C;STR-A5490A895830A71903B2;STR-A814A4A72CF8681234C9;STR-AC15064651DFC45CB1E4;STR-B5CAC4750A8CE18735B2;STR-BD5E8CD3F04E20EF2036;STR-C0C912780560E33EFE90;STR-C24FEE7237633011F0F2;STR-C6C7319A2332D2316F26;STR-CC119FD289E2F37C242E;STR-D294CA925BADF351BAE7;STR-D32C4FE03E32CED2B7FB;STR-D8C56496AF4C9916F0F3;STR-DA4F708C5ED8977F505E;STR-DF974D42229069135D77;STR-E4F36A98E00A8B27E8BD;STR-EF3629BE766B7858BC20;STR-F10D2D8306F0D924B76B;STR-F32727EFAF81D38C7334,22,8.522878745280337,9.0
CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB,STR-073AD85CF5EE1E9C87AB;STR-1A02A52BF860C4D25F9A;STR-1E16751A99CB4CD1A2D3;STR-1E41EA89AAF9C5AE998F;STR-2159345A857E58155448;STR-2C3FE5CA1858927467FA;STR-2D6C1263F87FC6A92E1C;STR-3253D8DC94A1BCB38E8F;STR-357FF7F1EF112B333FD8;STR-4F1EEBE285BDFD4F35AF;STR-547D0767F033066A0D80;STR-56E19E91840D3A01B6A3;STR-593538869CBBD1EB1B7D;STR-5A6612853CA9F9DCEA91;STR-5DF8CCEDDDC1429A6B58;STR-6FE1A42FCCA9C735ED36;STR-73C51163FC18BDBC72DE;STR-74748864A5B42BEF5513;STR-7574D071910577A50816;STR-78D6D64DD53A6832B414;STR-971462EFAE13318C0E1F;STR-972288F8D4D50B5E44FE;STR-9CCCDEEF5E324E6E33B4;STR-A5251367717CBF43E094;STR-A70185AE5063299B6804;STR-AA4D58E6580A56C280AF;STR-AF457B5C4AE166B10ED6;STR-B2FBC3258126732F3345;STR-CAC36670E13A5F8A68CE;STR-CB65BC34DC11FA6EB615;STR-D32B5F55634E895AF4B1;STR-D3A497B4DE3B2E0622F3;STR-E0F070490CE8D61ABB41;STR-EE40493687FAFB4EE02B;STR-F334A782B734CE96FF39;STR-FB8F85C9A962EBF8FA78;STR-FDBEEEA8F638FBC3B433,14,8.045757490560675,8.522878745280337
CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195,STR-094C702ADD088489F553;STR-1ED81EB6526D0C332327;STR-2A720D6641F50CDDC420;STR-2AFD93E7E8064B3E49E2;STR-3285E2BFD8068CB3A1DB;STR-36584B3033D9C455D195;STR-37683BE8AACC5BF07C17;STR-3D134EE83844240DFBF0;STR-46101F1AC5781BDFFC2C;STR-461FB7619E9127A87F14;STR-47846D608185053052FC;STR-4B7E6200574F432256B4;STR-4C19F00ABA775539C82E;STR-52D01EFC583EB20C9B2A;STR-5472A1D1C6965F08A7DA;STR-63AC2E75E76C1C641161;STR-731E86363BD706E32221;STR-73D39D8A425861DCE560;STR-7A6579C0FCDE81940F28;STR-988E78A954C724A4E918;STR-9C303D8F957257731184;STR-A5A20463BFF941861BA8;STR-A6D8AB953E61D44AA038;STR-B4B9D6A6C03B5C8E19FC;STR-B8749C56BFCE6CE70125;STR-CB98D7BBE456411A25E7;STR-CE06DD9044CE32F8232C;STR-DCA3434F85B70F7DA7D4;STR-EC66806C5F5D2CD819CB;STR-EC9D5328307E3ED96B61;STR-EE1ECC6B864815D20E60;STR-EE2BA933FEE514B0F89F;STR-F002CB3DA8E3E8ADE73A;STR-F3CF2B91B4EE3E2B7CA5;STR-F56CDB449583E8311074;STR-FCECFA6DCFB5CA0DE116,22,5.658026434624244,7.229147988357855
CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A,STR-06E53FF33324D9B1A44A;STR-07CEA1A415CFED11C760;STR-0B3BEA2BCB592D1DDA40;STR-1A6476E5CBA3E8CA3747;STR-2427F8EACDBEB2183A48;STR-26DE89331A7438286FB0;STR-33470FA3D63C6644B384;STR-345899C1E6A28DAE7335;STR-38F6752F49BCD366F11A;STR-3B92CACCAFD90E1C78D4;STR-40E0E7043CC563C31D2B;STR-4ACD6DB0066464DC0230;STR-4C43BCDB33EE423B9ECC;STR-5292CC2045CB1C1E8EBD;STR-7F50B57FFABE6350EAF5;STR-8131638FF64AE92C8993;STR-84B9176A329FC508D11B;STR-890705A7B622D31C3086;STR-A33A7D4A9E6E6442812C;STR-AEBCF9F47DC8FFE6B030;STR-B91B625C26AF1911063A;STR-C21882423633547B198F;STR-C44F56C9778A0067D259;STR-DE57A0D88EA762894E60;STR-DFFE7919620276588DCE;STR-E1374AA2ED612B5F391C;STR-E8B47F80D16782785E9D;STR-EE1FD4C7BA9FA060836F;STR-F744772A71C37D955328;STR-F90A7CDFC3BE1549AAD5;STR-FE3645A659C52B524F3A,10,5.3872161432802645,7.698970004336019
CLU-54C86C60B0A372CD,30,STR-CFD47A4A9C12D7F7E3C6,STR-062343CE45A5FA8286D4;STR-1855E3C88BD9E03511B5;STR-2BCFE9B3B04BB17781E9;STR-31013D2308E98B54F331;STR-329A1DF49F92EC5C8A64;STR-49FE1FCFAE0956BB85D0;STR-4ED81823DA53AF1D70A0;STR-6ADE38C213CBA2CBB7F0;STR-6BDEB3BA85482F5765AF;STR-818BBE16B70D045AF1C8;STR-829AE7B5DD995022C5B7;STR-90EE5A397527C889888A;STR-954544D85CBDB0FFCB9B;STR-9625696A93C79A8B7AB2;STR-990002F6D026479B6DCF;STR-9AEB913932F7D1386949;STR-9B86A4BF42F7EC6AC8E3;STR-9C168192E4C52880D0E5;STR-9D7B1984B46AE21DD5AC;STR-9DAEE3412AFCC35E2A05;STR-A19437D5A9F1DA8A27A8;STR-BAFF2FF7D3D8F1D2F783;STR-C92E86A48527711BF43C;STR-CC5B3077D44A183298E0;STR-CE20B85B4A250EC35961;STR-CFD47A4A9C12D7F7E3C6;STR-D778F7E0C069C7D2FAAC;STR-E7EA8D7931BFDDAB9B7B;STR-F4FB2C42DC3E185E6101;STR-FB32B5E0FE59CE4699E6,10,7.494850021680094,8.443697499232712
CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729,STR-0FC172F4903F344CAD3C;STR-213F84F38B4A2B9413E0;STR-33ECA7BC02C166AF1729;STR-5B1180372851AE5365FB;STR-5D9D18A659624B9D4D9E;STR-5F1ACBF53225066503F2;STR-62B57AB9305786A0B7AA;STR-695C2B9D19FE30A6368D;STR-6B0BEC7CA952AA3F373C;STR-718AB1E455060CA519A1;STR-787A0E4100519807DE55;STR-7F0EE35F1AAF9EE0E75E;STR-841FC2EFD5AAF36FB504;STR-8D154D34949338668AD9;STR-9C6F5F9AE1FD0341471B;STR-AA28B6BCC5A0854E325E;STR-AA73D88E6A8F8A2C3D26;STR-B22B1045ECF10A2BE02D;STR-B8D3AA93809B56B2198C;STR-C388369FA2BBC8775FB4;STR-C3D8B6AB5924C8373F29;STR-D69A42D7CD9CD1E56E5E;STR-DE2EA720A2F505856D97;STR-E641EA51DCF158A5E554;STR-F45BBAA26D4E2A02347B;STR-F4D7C79F147C9691D2EE;STR-FF095523952A15300267,20,7.173925197299173,7.860623199523586
CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC,STR-07E4D9678C4B52D2093A;STR-08A590BAA6ADDB004EDA;STR-0EB9DFE3F3CFA3016388;STR-15A2DC000277D973D434;STR-19873DB44217FEBF78AF;STR-1DF62CB592FCCE0FC1BB;STR-1F9028E2DF2F03204766;STR-21AE2CAF6E5125C8BCF4;STR-222AAD6024ECA7B1116F;STR-30E7F50211EE28460DBB;STR-44D7373FA75606A9FAF6;STR-607EE12240E722EC08AE;STR-69B6B26B9F45D1509A0C;STR-6CA56A9373037E1AABA1;STR-80B7C819E96F09B4FE2E;STR-852CFBD6CFCE9E722768;STR-8BAA965F9B38F093E239;STR-AB1714536DDACDAFACEC;STR-B9EA30DEB7647D41BA70;STR-D31C7512712D5C2245CC;STR-E5059C295BEFCBEAC7A4;STR-E6C9DB27889E0D91BF2B;STR-FB20DDC3426AF551283B,4,5.920818753952375,8.301029995663981
CLU-8AC1194393FC15BF,21,STR-568E8A2EF6050316CA23,STR-0B6B013EF83E068B0788;STR-290979066F752EEEF93B;STR-2E19648BD2890AA2BB83;STR-394215D949D57850FC96;STR-44F56F5A5BFB18B77986;STR-45F69269A2FAE7DAA4C0;STR-55DFB8550CA6D0317DA0;STR-568E8A2EF6050316CA23;STR-6BBFA0A16AEB8910C337;STR-71AB200EF619F4685513;STR-7D0031746A963BBE8268;STR-84E68E67151229290F47;STR-904EC5EDA40AA8AB23C1;STR-9EC06DEFB9DB4A9951A2;STR-C555A82898E9FBE8534F;STR-D67FE3A87A1AC07DC7FF;STR-DA6DE006B635E7B8ABB6;STR-E2D66C5668374E3992F5;STR-ED2163A2DFC4C94EBA76;STR-EFC43EF5227E2B3C49F1;STR-FEFFBCD58898FB83A7AC,6,5.939302159646388,7.732828271596986
CLU-05771A03FDE37CAB,14,STR-142DC3F04BDF2ABC0F0A,STR-142DC3F04BDF2ABC0F0A;STR-39162221D259757C11ED;STR-3FB33B6320D7624C2E9C;STR-40A2759B420CC95C7ED1;STR-ADF0DC68688651046789;STR-B41E25A7E7B38A28FF65;STR-B9B055BBCE39C09309A4;STR-BEF59984678C49DF2998;STR-BF1214B82FC052E63D5D;STR-CA5FBB5B185EEEDFCC44;STR-D5BB346CA235EBEB0149;STR-E79EEF3E7440D2C5F50E;STR-EDA0DBA402DA3F7EB4D8;STR-FBAAC5A0D7488D667D40,4,8.071333751784366,8.522878745280337
CLU-D05EB6AB0B00E296,13,STR-072FE59E687806FA7B3E,STR-072FE59E687806FA7B3E;STR-0A56438F09B3E75AAE8B;STR-23383202A04EDA946CD9;STR-3BF33E326381C0E9FE99;STR-3CD476A8641FC18ED0B6;STR-4B497AB49DA0E85C14C0;STR-5C740F62A4861DEC230E;STR-87B669664B96EE395F24;STR-9AA3FF70960D58F79546;STR-A2F21D97062872F508E0;STR-B37B5C6A72819E700FA9;STR-CCECBC8279B18ADB4096;STR-FF8C3D50A964C03AC597,4,6.17134010346468,7.337242168318426
CLU-3F69D3AD245ADE81,12,STR-DA939D5F87D225304F92,STR-1820741093C58A025EB7;STR-1D682839606D037B2843;STR-3635F302F926924A4F69;STR-62D85176F37CC4A95D7C;STR-83AFBD5BD9110FDF3CA3;STR-919E61E523A8F795DCEC;STR-9D5FA8EC64504ACC3524;STR-9ED5F7AB73D34199D6B6;STR-C7284B226A7FB3CA10F9;STR-DA939D5F87D225304F92;STR-DB0E19CA615A608C5F2D;STR-DB706C2977DCEE50E09E,4,5.623208470553546,7.431798275933005
CLU-5FD0DDB00E1E9375,12,STR-8A96AEE3549DB26F33DD,STR-09276AA2563E2F930001;STR-0B18427EF6CEB8CC075B;STR-38D78133670C2C6A5AEA;STR-571CCDCD3D693D6D5618;STR-6F1C926A5BCCC888A7D5;STR-74AB0C5D40C92C89D385;STR-8A96AEE3549DB26F33DD;STR-9CEE978B571562B060A4;STR-A03DAF6611859C5C8983;STR-A540B6064EC41BB600F8;STR-B1B50BB9C2198BA2F3F2;STR-D456C0F5B6DBFC7C04B5,1,5.88189517314147,8.397940008672037
CLU-426D02ED5BFF1983,10,STR-BD3C32C55755152AB6D1,STR-070A2DB3A5A9041ED5EA;STR-489F6A3FCA46D9527C55;STR-4F7AB474CDF6E554BFA4;STR-84B6FE8D37C3E3C10CC6;STR-87D12F3BEF86165DEC76;STR-9E4FCF8CA68285C7D759;STR-BD3C32C55755152AB6D1;STR-C3AB20114EC3D149B3FF;STR-C4A801F174E1E034721C;STR-F48E770257629D6757F9,4,7.979303657420887,8.397940008672037
CLU-EE35BC9038C2FF43,10,STR-ADD6623F7AD60FDD956E,STR-14DBFF17DA73564FE5B6;STR-31D21D2CCB9374585486;STR-458F60594CF32D1C3B3A;STR-82C71875AD45FB58A735;STR-97EC0B8AC90C0B7FCB6A;STR-ADD6623F7AD60FDD956E;STR-B520AF3A72F2FF2BC507;STR-BFC54DF7D74405B04BF7;STR-C6579F1285FA63B28E81;STR-EB3EDBE36DF9F6873496,4,6.646854521370618,7.045757490560675
CLU-369E40B90B07000D,9,STR-B2BA33058BFAB9451C2F,STR-02EB512B892EF622930F;STR-1CBACEED34B9A4B3A117;STR-24E8A686F24A9B2B9CC8;STR-918E0A178CBF8E4B9AE9;STR-A59B36009FADA199468E;STR-AF889682F3260AB0C490;STR-B2BA33058BFAB9451C2F;STR-DC0F93BC28332B505B19;STR-FF5E62E2D34F3B37D670,5,7.578695380194719,8.096910013008056
CLU-4C66778D7AF47B56,9,STR-D4B228AA42C515EFF74F,STR-0AF48A7398AE4A10DB6D;STR-3A6736117BA7E1895B14;STR-5809FBCCA5EEA2161D90;STR-771E4A4135C686845F23;STR-7B4D282245C89175BEA3;STR-9767BDB895288D4DE128;STR-9E9A5140F6DAB650B46B;STR-A1F0E6930C1DAFA0E759;STR-D4B228AA42C515EFF74F,5,8.397940008672037,8.698970004336019
CLU-7544796D1BA53F3F,9,STR-57B02C455F0090B0D259,STR-1098388DEC1F7C6AA87D;STR-57B02C455F0090B0D259;STR-88804765D6850674CDE0;STR-9AC1D54F9BA0634D1A2E;STR-9F2105675ED616901558;STR-C5AB0DE6D3F029BD8FF5;STR-DD85A44F83053A371F0B;STR-E2810CDE1AAE185A5F80;STR-F03E892587D35D6246F0,7,6.275724130399211,6.6020599913279625
CLU-AF9A7727B04E32F9,9,STR-A50D555FBD2E6BE12E86,STR-20D5B5F6CCFE315C6A44;STR-478CD9F8B251C1F54424;STR-4963BC6466091AE476AA;STR-79AE077C5280C92A481E;STR-8D3A795E5B813D3BE51E;STR-A50D555FBD2E6BE12E86;STR-C52DE5B6B6E8022BCAB7;STR-E15050249B2D732BD2E2;STR-F7D3FB282E651DA95110,3,5.055517327849831,7.187086643357144
CLU-B67275E4621D323B,8,STR-4DD88D5839EF83BB667C,STR-03A6B3C8922F75633A24;STR-04F547F3C923840AF4FD;STR-1223C39CACA1FF24271A;STR-4DD88D5839EF83BB667C;STR-514E377E1ED7B27533EB;STR-76F421993337A53D2B7F;STR-DA9775B70707A0852196;STR-E06BC321EF0DF7985DE6,2,8.0,8.397940008672037
CLU-3B4AF9A262953942,6,STR-15B6710D6EF043E829A9,STR-13418EBC6BF2EEA6DE7C;STR-15B6710D6EF043E829A9;STR-2FF2DB436296505D61BF;STR-9E9C8374C40CC4C64C60;STR-B8BBFC48D37A12C20E1C;STR-E697EE7C173FF5B3D541,3,5.553024848170201,7.943095148663527
CLU-460675747EBAD496,6,STR-B5D946FAC7CA35C5B953,STR-70C7272DAD1CFA014D53;STR-801FAB4C61D8E9427A35;STR-8053B83BB63EAAF32F61;STR-B5D946FAC7CA35C5B953;STR-CD3ABA81D633A3E66F13;STR-DC00BFEB0D64455B5FD8,5,8.181255135243745,8.387216143280265
CLU-B7CF97F5F7173F6E,6,STR-291A8BDD78332CB7AA65,STR-291A8BDD78332CB7AA65;STR-387792503A9801B32A63;STR-94E1D88307C1CEF006D5;STR-CF5201A5F0C9949F8EED;STR-D669A219C022A29B5DB1;STR-E196FA84CA797A66645C,6,6.974493237013725,7.602059991327963
CLU-D7D8CB9A550B55F0,6,STR-768449AFD0A1BD14A41D,STR-39A915FABCDA41B4B311;STR-654C0D84C180E9D74576;STR-768449AFD0A1BD14A41D;STR-978644C1BF9EC9F346BF;STR-C9E0EFAEE2C6ACA45C7C;STR-D517B4FC121862D9BE6F,1,8.261439372640169,8.522878745280337
CLU-DFDE0EB637DE6F53,6,STR-8D22035F518E37FF47A2,STR-077D7D9C480B1958E4A3;STR-435B0469D981B3FB0F4C;STR-6C98F61E1E52A5856618;STR-8D22035F518E37FF47A2;STR-A801C2BEEB406E6E0F33;STR-B362D479FEC6A2A08BC5,1,6.097589660639419,6.920818753952375
CLU-F0117CB494DDBB30,6,STR-E2BF2500F662553F3983,STR-09F928DB426380AF84D4;STR-334A6D2F1631C6ED2448;STR-684B7A6ABD719561B71F;STR-840734C0880BD661CE77;STR-C43E9CAC606D3F496EC2;STR-E2BF2500F662553F3983,1,6.033534928584605,7.086186147616283
