PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,336875632,90455046,CC1=C(C=CC2=C1C=C(N2)C#N)CN3CCC(CC3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Active,,,,0.23,GI50,=,230,nM
2,404672755,117636594,CCC(=O)N1CCN(CC1)CCN2C3=C(C=C2C#N)C(=C(C=C3)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F)C,Active,,,,0.25,GI50,=,250,nM
3,404672781,117636582,CC1=C(C=CC2=C1C=C(N2CCC3CCN(CC3)S(=O)(=O)C)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.25,GI50,=,250,nM
4,404673311,130375985,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)S(=O)(=O)C(F)(F)F)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.45,GI50,=,450,nM
5,404674036,118886397,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C(=O)CCC4CCCC4)C#N)CN5CCC(CC5)NC6=C7C=C(SC7=NC=N6)CC(F)(F)F,Active,,,,0.75,GI50,=,750,nM
6,404674491,117636547,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)S(=O)(=O)NC)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.15,GI50,=,150,nM
7,404674530,145964987,CC1=C(C=CC2=C1C=C(N2CCC3CCN(CC3)C=O)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.57,GI50,=,570,nM
8,404674551,130376007,CC1=C(C=CC2=C1C=C(N2C[C@H]3CNC(=O)CO3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.7,GI50,=,700,nM
9,404675319,130375983,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C(=O)CF)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.075,GI50,=,75,nM
10,404676680,130375988,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C(=O)C(F)F)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.18,GI50,=,180,nM
11,404677328,117636542,CC1=C(C=CC2=C1C=C(N2CCC3CCNCC3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.81,GI50,=,810,nM
12,404679100,117636546,CC1=C(C=CC2=C1C=C(N2CCN3CCOCC3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.24,GI50,=,240,nM
13,404680446,117636548,CCS(=O)(=O)N1CCN(CC1)CCN2C3=C(C=C2C#N)C(=C(C=C3)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F)C,Active,,,,0.25,GI50,=,250,nM
14,404681457,118886386,CC1=C(C=CC2=C1C=C(N2CC3CNC(=O)CO3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.05,GI50,=,50,nM
15,404681745,117636540,CC1=C(C=CC2=C1C=C(N2CC3=CC=NN3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.22,GI50,=,220,nM
16,404682143,130375987,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C(=O)C(F)(F)F)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.23,GI50,=,230,nM
17,404686863,130376005,CC1=C(C=CC2=C1C=C(N2C[C@@H]3CNC(=O)CO3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.034,GI50,=,34,nM
18,404689729,117636565,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.23,GI50,=,230,nM
19,404690231,117636564,CC1=C(C=CC2=C1C=C(N2CCN3CCNCC3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.52,GI50,=,520,nM
20,404690564,117636599,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C(=O)C)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.15,GI50,=,150,nM
21,404690701,117636596,CC1=C(C=CC2=C1C=C(N2CCC3CCN(CC3)C(=O)C)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.97,GI50,=,970,nM
22,404691189,117636634,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C(=O)CC4CCCC4)C#N)CN5CCC(CC5)NC6=C7C=C(SC7=NC=N6)CC(F)(F)F,Active,,,,1.2,GI50,=,1200,nM
23,404691426,117636597,CCCN1CCN(CC1)CCN2C3=C(C=C2C#N)C(=C(C=C3)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F)C,Active,,,,1,GI50,=,1000,nM
24,404691598,118888688,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)S(=O)(=O)C)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.15,GI50,=,150,nM
25,404692146,145976824,CC1=C(C=CC2=C1C=C(N2CCC3CCN(CC3)S(=O)(=O)N)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.35,GI50,=,350,nM
26,404693981,130375989,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C(C)C(=O)N)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.25,GI50,=,250,nM
27,404694401,117636601,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)S(=O)(=O)N)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.22,GI50,=,220,nM
28,404694561,117636585,CC1=C(C=CC2=C1C=C(N2CCC3CNC(=O)CO3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.15,GI50,=,150,nM
29,404694680,117636602,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C=O)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Active,,,,0.15,GI50,=,150,nM
