PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,475981436,146511512,COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)S(=O)(=O)C5CC5)C6=CC(=CC=C6)F,Active,,,,0.87,IC50,=,870,nM
2,475981642,156777440,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CC6)C7=CC(=CC=C7)F,Active,,,,0.274,IC50,=,274,nM
3,475981961,166627252,CN(C)C[C@]([C@H]1CCC[C@@H]1NC(=O)OC)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)S(=O)(=O)C5CC5)C6=CC(=CC=C6)F,Active,,,,0.703,IC50,=,703,nM
4,475982554,166627557,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4(CN(C4)C5=CC=C(C=C5)S(=O)(=O)[C@H]6CCCN(C6)C(=O)C=C)OC)C7=CC(=CC=C7)F,Active,,,,0.196,IC50,=,196,nM
5,475984111,166628336,CN(C)C/C=C/C(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)(CN4CCC(CC4)[C@](CN5CCC5)([C@H]6CCC[C@@H]6NC(=O)OC)C7=CC(=CC=C7)F)OC,Active,,,,0.0497,IC50,=,49.7,nM
6,475984118,166628342,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4(CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CCN(CC6)C(=O)C=C)OC)C7=CC(=CC=C7)F,Active,,,,0.594,IC50,=,594,nM
7,475984267,166628415,CC1(CCN(CC1)C[C@]([C@H]2CCC[C@@H]2NC(=O)OC)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CC6)C7=CC(=CC=C7)F)O,Active,,,,0.684,IC50,=,684,nM
8,475984923,166628758,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4(CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)C=C)OC)C7=CC(=CC=C7)F,Active,,,,0.402,IC50,=,402,nM
9,475987557,156676281,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4(CN(C4)C5=CC=C(C=C5)S(=O)(=O)[C@@H]6CCCN(C6)C(=O)C=C)OC)C7=CC(=CC=C7)F,Active,,,,0.188,IC50,=,188,nM
10,475988368,156587362,CCC(=O)N1C[C@@H]2C[C@H]1CN2S(=O)(=O)C3=CC=C(C=C3)N4CC(C4)(CN5CCC(CC5)[C@](CN6CCC6)([C@H]7CCC[C@@H]7NC(=O)OC)C8=CC(=CC=C8)F)OC,Active,,,,0.63,IC50,=,630,nM
11,475988987,166630773,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CC6)C7=CC(=CC=C7)F,Active,,,,0.599,IC50,=,599,nM
12,475990325,146511559,CC1(CN(C1)C2=CC=C(C=C2)S(=O)(=O)C3CC3)CN4CCC(CC4)[C@](CN5CCC5)([C@H]6CCC[C@@H]6NC(=O)OC)C7=CC(=CC=C7)F,Active,,,,0.544,IC50,=,544,nM
13,475991872,166632210,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4(CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6C[C@H]7C[C@@H]6CN7C(=O)C=C)OC)C8=CC(=CC=C8)F,Active,,,,0.504,IC50,=,504,nM
14,475992047,166632304,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCOCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CC6)C7=CC(=CC=C7)F,Active,,,,0.675,IC50,=,675,nM
15,475993381,156777438,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4(CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CC6)F)C7=CC(=CC=C7)F,Active,,,,0.948,IC50,=,948,nM
16,475994380,162640855,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4(CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6C[C@@H]7C[C@H]6CN7C(=O)C=C)OC)C8=CC(=CC=C8)F,Active,,,,0.0515,IC50,=,51.5,nM
17,475995227,166633868,COC(=O)C1(CN(C1)C2=CC=C(C=C2)S(=O)(=O)C3CC3)CN4CCC(CC4)[C@](CN5CCC5)([C@H]6CCC[C@@H]6NC(=O)OC)C7=CC(=CC=C7)F,Unspecified,,,,10,IC50,>,10000,nM
18,475997384,146511531,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)S(=O)(=O)C5CC5)C6=CC(=CC=C6)F,Active,,,,0.553,IC50,=,553,nM
19,475999321,162481608,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4(CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CC6)OC)C7=CC(=CC=C7)F,Active,,,,0.443,IC50,=,443,nM
20,475999387,166635947,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4(CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CC6)O)C7=CC(=CC=C7)F,Active,,,,0.833,IC50,=,833,nM
